text,sentiment,type
這個課程難用死了,0.27,negative
超乎期待！這個更新,0.83,positive
這個更新一般般,0.34,neutral
這個服務好用到哭,0.81,positive
這個老師湊合著用,0.54,neutral
有優點也有缺點！這個介面,0.3,neutral
這個客服整個無敵神,0.92,positive
讚到爆炸！這個更新,0.93,positive
這家餐廳根本就是救星,0.74,positive
這個主播有優點也有缺點,0.45,neutral
氣死人了！這個功能,0.11,negative
這個博主根本是智障設計,0.28,negative
根本是智障設計！這個社群,0.25,negative
這個博主普普通通,0.4,neutral
完全沒話說！這個客服,0.88,positive
這支影片根本離不開了,0.9,positive
馬馬虎虎！這個版本,0.31,neutral
不推不推！這個外送,0.09,negative
完全不推好吧！這家餐廳,0.03,negative
這個主播超級無敵讚,0.75,positive
我覺得很ok呢,0.28,sarcastic
這款APP根本是詐騙,0.17,negative
這個直播退錢啦,0.03,negative
這個設計普通啦,0.52,neutral
我也是這樣覺得呢,0.18,sarcastic
我覺得很ok呢,0.38,sarcastic
高手高手,0.18,sarcastic
有夠糟糕！這個遊戲,0.17,negative
這個功能爛透了,0.19,negative
厲害了我的哥,0.31,sarcastic
這家餐廳普普通通,0.3,neutral
還行啦！這個遊戲,0.68,neutral
用了就愛上！這支影片,0.93,positive
這款APP整個無敵神,0.76,positive
這什麼爛東西！這個主播,0.22,negative
太專業了吧,0.36,sarcastic
哇塞厲害了,0.16,sarcastic
用了就愛上！這個更新,0.94,positive
好棒棒哦,0.33,sarcastic
這個介面這不行啊,0.01,negative
就醬子吧,0.14,sarcastic
看情況吧！這個系統,0.6,neutral
這個配送品質穩穩的,0.77,positive
這個平台根本就是救星,0.95,positive
根本離不開了！這個博主,0.92,positive
真是太棒了呢,0.27,sarcastic
這個功能踩雷了啦,0.09,negative
超大雷！這個更新,0.15,negative
真是太棒了呢,0.32,sarcastic
這支影片完全不推好吧,0.1,negative
根本就是救星！這個外送,0.89,positive
氣死人了！這支影片,0.07,negative
這個老師一般般,0.61,neutral
根本是詐騙！這款手機,0.04,negative
爛透了！這個社群,0.26,negative
這個社群難用死了,0.24,negative
湊合著用！這個平台,0.56,neutral
馬馬虎虎！這個老師,0.37,neutral
這個客服品質穩穩的,0.74,positive
真是太棒了呢,0.12,sarcastic
太專業了吧,0.27,sarcastic
這個更新整個無敵神,0.95,positive
超級無敵讚！這個服務,0.72,positive
我直接吹爆！這個服務,0.72,positive
見仁見智吧！這家餐廳,0.6,neutral
這支影片還算ok,0.46,neutral
這款APP湊合著用,0.37,neutral
還行吧！這個服務,0.41,neutral
這個平台用了就愛上,0.72,positive
這個主播根本離不開了,0.93,positive
這個配送完全不推好吧,0.12,negative
這家店馬馬虎虎,0.5,neutral
這個版本真的是浪費時間,0.04,negative
這個課程將就了,0.62,neutral
還可以啦！這個平台,0.37,neutral
這家店有優點也有缺點,0.4,neutral
品質穩穩的！這個遊戲,0.99,positive
這個商品爛透了,0.02,negative
超級雷！這個主播,0.25,negative
這個博主馬馬虎虎,0.31,neutral
這個直播好用到哭,0.87,positive
好用到哭！這個課程,0.92,positive
這個直播根本就是救星,0.76,positive
我覺得很ok呢,0.37,sarcastic
這個配送還算ok,0.56,neutral
這個課程太香了,0.79,positive
誰理你啊,0.28,sarcastic
這個主播沒錯就是這樣呢,0.37,sarcastic
這個直播根本是智障設計,0.12,negative
看情況吧！這個主播,0.61,neutral
這款APP可以考慮,0.43,neutral
這個商品好用到哭,0.7,positive
這款手機完全不推好吧,0.29,negative
這個社群太強了吧,0.79,positive
氣死人了！這個介面,0.28,negative
誰理你啊！這個社群,0.26,sarcastic
還行吧！這個服務,0.33,neutral
讚到爆炸！這支影片,0.78,positive
一般般！這個課程,0.67,neutral
你最棒了啦,0.15,sarcastic
這款手機品質穩穩的,0.85,positive
我直接吹爆！這個社群,0.96,positive
不算差但也不算好！這個直播,0.41,neutral
這個平台真的是浪費時間,0.14,negative
這個商品完全沒話說,0.77,positive
真是特別呢,0.22,sarcastic
可不就是這樣！這個遊戲,0.24,sarcastic
這個社群退錢啦,0.26,negative
是是是你說得對,0.35,sarcastic
氣死人了！這個服務,0.04,negative
沒錯就是這樣呢,0.25,sarcastic
真是特別呢,0.38,sarcastic
這家餐廳太香了,0.74,positive
這個博主見仁見智吧,0.68,neutral
根本離不開了！這個遊戲,0.87,positive
就醬子吧,0.35,sarcastic
這個老師根本是智障設計,0.09,negative
還行啦！這個外送,0.57,neutral
這個客服看你要怎麼想,0.39,neutral
我覺得很ok呢,0.19,sarcastic
還好啦！這個博主,0.6,neutral
真的很可以！這款APP,0.87,positive
見仁見智吧！這個直播,0.49,neutral
這個更新看你要怎麼想,0.55,neutral
這支影片真是太有水準了,0.28,sarcastic
這個服務踩雷了啦,0.24,negative
這個介面用了就愛上,0.77,positive
還行吧！這個平台,0.45,neutral
將就了！這個社群,0.53,neutral
這個功能超級雷包,0.05,negative
這個平台看你要怎麼想,0.59,neutral
根本垃圾！這個更新,0.06,negative
還行吧！這個服務,0.63,neutral
好棒棒哦,0.24,sarcastic
待觀察！這個社群,0.7,neutral
這個客服根本離不開了,0.96,positive
我覺得很ok呢！這個老師,0.38,sarcastic
好用到哭！這個遊戲,0.74,positive
這個設計根本離不開了,0.73,positive
讚到爆炸！這個外送,0.89,positive
這個服務見仁見智吧,0.43,neutral
這家店看情況吧,0.42,neutral
完全沒話說！這款手機,0.91,positive
根本就是救星！這個功能,0.9,positive
這個商品有優點也有缺點,0.56,neutral
好厲害喔,0.2,sarcastic
這款APP凱子啦,0.54,neutral
這家餐廳讚到爆炸,0.71,positive
誰理你啊,0.19,sarcastic
真是太棒了呢,0.3,sarcastic
看你要怎麼想！這個更新,0.31,neutral
這個服務品質穩穩的,0.73,positive
誰理你啊！這個社群,0.33,sarcastic
真是特別呢,0.33,sarcastic
看情況吧！這個介面,0.53,neutral
這個平台太香了,0.84,positive
這個介面這個真心推薦,0.83,positive
這個版本推爆這個,0.99,positive
這個功能超級棒的啦,0.92,positive
太強了吧！這個版本,0.85,positive
真的很可以！這個版本,0.88,positive
你最棒了啦！這個功能,0.22,sarcastic
我覺得很ok呢,0.13,sarcastic
我也是這樣覺得呢,0.27,sarcastic
超級雷包！這個商品,0.27,negative
好厲害喔！這個版本,0.11,sarcastic
踩雷了啦！這個博主,0.14,negative
我覺得很ok呢,0.34,sarcastic
超大雷！這個系統,0.02,negative
爛透了啦！這個直播,0.19,negative
嗯哼,0.29,sarcastic
這什麼爛東西！這個功能,0.23,negative
這個直播湊合著用,0.61,neutral
根本垃圾！這個社群,0.11,negative
凱子啦！這個遊戲,0.41,neutral
根本就是救星！這家店,0.91,positive
退錢啦！這個設計,0.02,negative
我直接吹爆！這個外送,0.89,positive
這個外送還算ok,0.46,neutral
這個客服真的是浪費時間,0.22,negative
這個商品踩雷了啦,0.13,negative
反正你最厲害,0.2,sarcastic
這個服務這個真心推薦,0.82,positive
也就這樣！這個博主,0.43,neutral
這個商品有優點也有缺點,0.39,neutral
我直接吹爆！這個外送,0.75,positive
這個客服超級棒的啦,0.96,positive
可以考慮！這個商品,0.32,neutral
是是是你說得對,0.18,sarcastic
還行吧！這個課程,0.34,neutral
太強了吧！這個主播,0.88,positive
這個博主真的是浪費時間,0.0,negative
隨便啦,0.31,sarcastic
這款手機可不就是這樣,0.25,sarcastic
真的是浪費時間！這個直播,0.19,negative
這個外送這什麼爛東西,0.26,negative
這個介面超級雷,0.29,negative
讚到爆炸！這個系統,0.81,positive
這個系統整個無敵神,0.92,positive
凱子啦！這個社群,0.33,neutral
有優點也有缺點！這個配送,0.56,neutral
不推不推！這個直播,0.15,negative
就醬子吧,0.21,sarcastic
超級雷包！這家店,0.02,negative
超大雷！這個配送,0.03,negative
這不行啊！這個更新,0.29,negative
這個直播太香了,0.79,positive
這個主播讚到爆炸,0.79,positive
這個遊戲爛透了,0.18,negative
超大雷！這個博主,0.08,negative
反正你最厲害,0.16,sarcastic
這個平台超級雷,0.24,negative
好棒棒哦,0.15,sarcastic
完全不推好吧！這支影片,0.2,negative
凱子啦！這個客服,0.37,neutral
超乎期待！這個系統,0.82,positive
好啦隨便你！這支影片,0.39,sarcastic
你最棒了啦,0.38,sarcastic
我也是這樣覺得呢！這個配送,0.23,sarcastic
超級棒的啦！這個系統,0.83,positive
可以考慮！這家餐廳,0.4,neutral
這個課程超大雷,0.15,negative
沒錯就是這樣呢,0.23,sarcastic
這個更新將就了,0.68,neutral
這家餐廳一般般,0.67,neutral
好啦隨便你,0.33,sarcastic
這個功能厲害了我的哥,0.12,sarcastic
這個更新簡直是神器,0.8,positive
太強了吧！這個老師,1.0,positive
沒錯就是這樣呢,0.32,sarcastic
湊合著用！這個介面,0.54,neutral
普通啦！這個外送,0.62,neutral
超級棒的啦！這個老師,0.74,positive
超級雷包！這家餐廳,0.1,negative
這款APP嗯哼,0.14,sarcastic
太強了吧！這個主播,0.82,positive
高手高手,0.21,sarcastic
這個遊戲根本是智障設計,0.02,negative
這個設計看情況吧,0.5,neutral
踩雷了啦！這支影片,0.08,negative
這個平台好厲害喔,0.36,sarcastic
爛透了啦！這個平台,0.3,negative
反正你最厲害！這個社群,0.21,sarcastic
這什麼爛東西！這個平台,0.01,negative
這家店不算差但也不算好,0.65,neutral
我直接吹爆！這家餐廳,0.89,positive
這支影片待觀察,0.37,neutral
真是特別呢,0.19,sarcastic
這支影片爛透了,0.03,negative
根本離不開了！這個直播,0.91,positive
這個真心推薦！這個課程,0.95,positive
沒錯就是這樣呢！這個社群,0.28,sarcastic
這款手機真的是浪費時間,0.22,negative
好用到哭！這個配送,0.76,positive
這個配送根本垃圾,0.14,negative
氣死人了！這個商品,0.23,negative
這個服務還行吧,0.48,neutral
就醬子吧,0.1,sarcastic
誰理你啊,0.29,sarcastic
真是傑作啊！這個商品,0.33,sarcastic
真是傑作啊,0.11,sarcastic
這支影片還行吧,0.43,neutral
爛透了！這支影片,0.3,negative
也就這樣！這個配送,0.47,neutral
